ID	Kanton (Canton)	Anstalt (institution)	Ort (city)	Anstaltszweck (Quelle)	Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Trägerschaft (agencies, funding bodies)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	Bemerkungen Plätze (Quelle) (remarks concerning capacities according to source)	Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4	Beschäftigung (types of forced labour)	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (denomination according to source)	Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
BE22	Bern	Bezirksgefängnis Fraubrunnen	Fraubrunnen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	6	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE23	Bern	Bezirksgefängnis Frutigen	Frutigen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	16	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE24	Bern	Bezirksgefängnis Interlaken	Interlaken	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	17	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	7	8	11		Untersuchungsrichter	Statthalteramt	Ortspolizeibehörde	Bezirksgericht	Regierungsstatthalteramt als Strafvollzugsbehörde						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE25	Bern	Bezirksgefängnis Konolfingen	Konolfingen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE26	Bern	Bezirksgefängnis La Neuveville	La Neuveville	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	3	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE27	Bern	Bezirksgefängnis Signau	Langnau im Emmental	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE28	Bern	Bezirksgefängnis Laufen	Laufen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	7	11			Untersuchungsrichter	Bezirksgericht	Bezirksstatthalteramt als Strafvollzugsbehörde								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE29	Bern	Bezirksgefängnis Laupen	Laupen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	8	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE30	Bern	Bezirksgefängnis Oberhasli	Meiringen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	10				Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE31	Bern	Bezirksgefängnis Moutier	Moutier	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	13	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE32	Bern	Bezirksgefängnis Nidau	Nidau	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE33	Bern	Bezirksgefängnis Porrentruy	Porrentruy	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	22	2			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE34	Bern	Bezirksgefängnis Saanen	Saanen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	5	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE35	Bern	Bezirksgefängnis Franches Montagnes	Saignelégier	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	5	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE36	Bern	Bezirksgefängnis Schwarzenburg	Schwarzenburg	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12				Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE37	Bern	Bezirksgefängnis Thun	Thun	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	30	2			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	7	11			Regierungsstatthalter	Untersuchungsrichter	Bezirksgericht	Statthalteramt als Strafvollzugsbehörde							interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE38	Bern	Bezirksgefängnis Trachselwald	Trachselwald	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE39	Bern	Bezirksgefängnis Wangen an der Aare	Wangen an der Aare	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE40	Bern	Bezirksgefängnis Niedersimmental	Wimmis	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	5	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE41	Bern	Evangelisches Mädchenheim Brunnadern	Bern	Nacherziehung und berufliche Ausbildung weiblicher Jugendlicher	3			Verein Evang. Mädchenheim Brunnadern, Bern	2	30	2		30	weibliche Jugendliche. Internierte nach StGB von den andern Insassinnen nicht getrennt gehalten.	2	keine Angabe	Aufnahmealter: minimal 15 Jahre, maximal 21 Jahre. Aufenthaltsdauer: minimal 2 Jahre	4	10	12				Jugendanwaltschaften	Vormundschaftsbehörden	Amtsvormundschaften								protestantisch	1	Prot.: Pfarrer aus Bern	Prot.: Besuch des Gemeindegottesdienstes im Ort, alle 3 Wochen Gottesdienst beim Direktionspräsidenten
BE42	Bern	Staatliches Erziehungsheim Eyhalde	Aarwangen	Erziehung schwererziehbarer schulpflichtiger Knaben	3				1	66	3	66		schulpflichtige Knaben	1	Heimschule, Freizeit-Werkstätten, Gartenarbeit, Landwirtschaft	Aufnahmealter: minimal 6 Jahre, maximal 16 Jahre; Aufenthaltsdauer: mindestens 2 Jahre	4	9	13				Fürsorgedirektion Bern	Jugendanwaltschaften	Jugendämter	Fürsorgestellen							protestantisch, es werden aber auch Angehörige anderer Konfessionen aufgenommen	1	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Teilnahme an den Ortsgottesdiensten, kath.: Teilname an den Ortsgottesdiensten
BE43	Bern	Maison de Santé Bellelay	Bellelay	Traitement des maladies mentales, expertise des délinquants, internement de délinquants à responsabibilité restrainte conformément aux art. 14/15 CPS, traitement de mineurs délinquants	6				1	370	6	180	190	pour internement selon art. 14/15 CPS quelques places à disposition	3	Ménage, cuisine, jardinage, vannerie, menuiserie, peinture, lingerie, buanderie, couture, travail en fabrique en dehors de l'établissement	Indéterminée	6	7					Autorités judiciaires	Autorités administrative bernoises									interkonfessionell	3	Prot.: Pasteur de Tavannes de langue française, pasteur de Tavannes de langue allemande, kath.: curé de Tavannes	Prot.: 2 par mois en français, 1 par mois en allemand, kath.: 2 par mois
BE44	Bern	Schweizerisches Erziehungsheim Bächtelen	Wabern	Internierung von männlichen Jugendlichen nach StGB sofern sie wegen Geistesschwäche mit dem Gesetz in Konflikt geraten sind	3			Inhaber: Stiftung der Schweizerischen Gemeinnützigen Gesellschaft	2	50	3	50		männliche Jugendliche	1	Landwirtschaft, Gärtnerei, Schreinerei, Schuhmacherei, Schneiderei, Weberei, Maurerei, Küche und Hausdienst	Minimal 2 Jahre, maximal 3 Jahre, Aufnahmealter: mindestens 15 Jahre, höchstens 19 Jahre, Internierte nach StGB von den andern nicht getrennt	4	6	10	14			Jugendanwaltschaften	Vormundschaftsbehörden	Gemeindebehörden	Pro Infirmis	Seraphisches Liebeswerk						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Besuch des Gemeindegottesdienstes im Ort, kath.: Besuch des Gemeindegottesdienstes im Ort
BE45	Bern	Heil- und Pflegeanstalt Münsingen	Münsingen	Heil- und Pflegeanstalt, Anstalt für Internierungen nach Art. 14/15 StGB sowie für psychiatrische Untersuchung von Straffälligen	6				1	1090	6	550	540	einige Pläatze für Hospitalisierung nach Art. 14/15 StGB	3	Verschiedene Gewerbebetriebe, Beschäftigungstherapie	Nach ärztlicher, bzw. behördlicher Vorschrift	2	8					Polizeidirektion des Kantons Bern	Untersuchungsrichter									interkonfessionell	3	Prot.: Anstaltspfarrer, hauptamtlich; kath.: Ortspfarrer	Prot.: alle 3 Wochen im Haus, kath.: einmal monatlich im Haus
BE46	Bern	Heil- und Pflegeanstalt Waldau	Bern	Heil- und Pflegeanstalt, Anstalt für Internierungen nach Art. 14/15 StGB sowie für psychiatrische Untersuchung von Straffälligen	6				1	970	6	480	490	einige Plätze für Hospitalisierung nach Art. 14/15 StGB zur Verfügung	3	Schreinerei, Sattlerei, Töpferei, Malerei, Bastelei, Baugruppe, Landwirtschaft, Beschäftigungstherapie	Nach ärztlicher, bzw. behördlicher Vorschrift, Internierte nach StGB von den anderen Insassen nicht getrennt gehalten	2	8					Polizeidirektion des Kantons Bern	Untersuchungsrichter									interkonfessionell	3	Prot.: Anstaltspfarrer, hauptamtlich; kath.: Pfarrer von Ostermundigen	Prot.: jeden Sonntag im Haus, kath.: Teilnahme am Gottesdienst in der Kirche Ostermundingen
BE47	Bern	Mittelländische Verpflegungsanstalt	Riggisberg	Fürsorgeanstalt; von der Polizeidirektion Bern benützte Anstalt für administrative Versorgungen	7			Inhaber: 66 Gemeinden des Kantons Bern	3	550	6	225	225		3																			interkonfessionell	3	Reformierter Ortspfarrer und katholischer Pfarrer aus Thun, beide im Nebenamt	Im Hause, Besuch freiwillig, Reformierte: 1 mal monatlich, ausserdem für beide Konfessionen freiwilliger Besuch der Kirchen in der Umgebung;  Katholiken: 1 mal monatlich
BE48	Bern	Heil- und Pflegeanstalt Meiringen	Meiringen	Nervenklinik für Frauen, akute und chronische Fälle, Pflegeverträge mit den Kantonen Bern und Zürich, Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB	6			Inhaber: Familie Michel, Meiringen, Aktiengesellschaft	2	230	6		230		2	Beschäftigungstherapie	Nach ärztlicher, bzw. behördlicher Vorschrift, Internierungen nach StGB nicht getrennt gehalten	6	7	10				Strafvollzugsbehörden	Vormundschaftsbehörden	Administrativbehörden								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: wöchentlich im Haus, kath.: gelegentlich im Haus
BE65	Bern	Staatliches Erziehungsheim für Knaben	Erlach	Erziehung schwererziehbarer schulpflichtiger Knaben, Internierung männlicher Jugendlicher nach StGB	3				1	58	3	58		Knaben und männliche Jugendliche	1	Schulbetrieb, Freizeitbeschäftigung, Garten und Landwirtschaft	Aufnahmealter: minimal 7 Jahre, maximal 16 Jahre, Aufenthaltsdauer: mindestens 2 Jahre	4	9	10	13			Fürsorgedirektion Bern	Vormundschaftsbehörden	Jugendämter	Jugendanwaltschaft							protestantisch	1	Prot.: Ortspfarrer	Prot.: jeden Sonntag obligatorische Teilnahme am Gottesdienst
BE49	Bern	Heimstätte Sonnegg	Belp	Nacherziehung weiblicher Jugendlicher, Anstalt zur Internierung weiblicher Jugendlicher nach StGB	3			Verein für die Heimstätte Sonnegg, Belp	2	20	2		20	weibliche Jugendliche	2	Hauswirtschaft, Kranken- und Säuglingspflege, Handarbeiten, Handweberei, Kleidermachen, Gärtnerei, Arbeiten in angegliedertem freien Kindergarten, kunstgewerbliches Basteln	Aufnahmealter: minimal 14 Jahre, Aufenthaltsdauer: minimal 2 Jahre	4	6	10				Jugendanwaltschaften	Vormundschaftsbehörden	Administrativbehörden								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Besuch des Gemeindegottesdienstes im Ort, kath.: Besuch des Gemeindegottesdienstes im Ort
BE51	Bern	Kantonales Erziehungsheim für Knaben	Oberbipp	Erziehung schwachbegabter schwererziehbarer Knaben	3				1	64	3	64		Knaben	1	Schulbetrieb, praktische Arbeit in Garten und Landwirtschaft, Handfertigkeit und Basteln	Schulpflichtalter, mindestens 1. Schuljahr, maximal 8. Schuljahr, Aufenthaltsdauer bis Ende Schulpflicht	10						Fürsorgedirektion Bern										protestantisch	1	Prot.: Ortspfarrer	Prot.: Besuch des Gemeindegottesdienstes im Ort
BE52	Bern	Loryheim Münsingen	Münsingen	Nacherziehung weiblicher Jugendlicher, vom Kanton mitbenütztes Heim zur Internierung weiblicher Jugendlicher nach StGB	3				1	35	2		35	weibliche Jugendliche	2	Hauswirtschaftliche Ausbildung, Damenschneiderei, Wäscheschneiderei, Weissnäherei	Aufenthalt mindestens 2 1/2 Jahre, bei Absolvierung einer Lehre mindestens 3 1/2 Jahre	4	7	10				Jugendanwaltschaften	Vormundschaftsbehörden	Justizdirektion Bern	Justizdirektion Basel-Stadt	Justizdirektion Graubünden	Justizdirektion Neuenburg	Justizdirektion Zürich				interkonfessionell, Leitung protestantisch	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Jeden Sonntag obligatorischer Besuch des Gemeindegottesdienstes im Ort, kath.: jeden Sonntag obligatorischer Besuch des Gemeindegottesdienstes im Ort
BE53	Bern	Mädchenheim Schloss Köniz	Köniz	Erziehung und Anlehre geistig behinderter Töchter, Eingliederungsstätte im Sinne der IV [Invalidenversicherung] zur erstmaligen beruflichen Ausbildung in den Haus- und Gartenarbeiten	3	8		Inhaber: Verein Mädchenheim Schloss Köniz, Köniz und Kinderheim Mätteli Münchenbuchsee, Köniz	2	47	2		47	weibliche Jugendliche	2	Haus- und Gartenarbeit, Handweberei, Wäscherei, Manglerei, Büglerei	Zurückgelegtes 15. Altersjahr, Auenthaltsdauer: 2 Jahre mit 3-monatiger Probezeit	4	10	13				Jugendanwaltschaften	Jugendämter	Vormundschaftsbehörden								interkonfessionell, Heimleitung protestantisch	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Besuch des Gemeindegottesdienstes, kath.: Besuch des Gemeindegottesdienstes im Ort
BE54	Bern	Staatliches Knabenerziehungsheim Landorf	Köniz	Erziehung schwererziehbarer Knaben im Schulpflichtalter	3				1	64	3	64		Knaben	1	Schulbetrieb, Freizeit-Werkstätten, Landwirtschaft	Schulpflichtalter	4	9	10				Fürsorgedirektion Bern	Jugendanwaltschaften	Vormundschaftsbehörden								protestantisch	1	Prot.: Ortspfarrer	Prot.: Besuch der Ortsgottesdienste
BE55	Bern	Kinderheim Friedau	Koppigen	Erziehung körperlich und geistig normaler Knaben, charakterliche und geistige Tragbarkeit für die Normalschule	3			Stiftung oberaargauische Knabenerziehungsanstalt Friedau in St. Niklaus bei Koppigen	2	18	1	18		Knaben	1	Besuch der öffentlichen Primar- und Sekundarschule, Betätigung im Haushalt und in der Landwirtschaft	Schulpflichtalter, Mindestalter: 6 Jahre, Höchstalter: 12 Jahre, Aufenthaltsdauer: bis Schulpflichtende	9	12					Amtsvormundschaften	Fürsorgebehörden									protestantisch	1	Prot.: Ortspfarrer	Prot.: Besuch des Gemeindegottesdienstes im Ort
BE61	Bern	Erziehungsheim für Mädchen, Mädchenheim Steinhölzli	Liebefeld-Bern	Erziehung schwieriger Mädchen mit Verhaltungsstörungen	3			Stiftungsheim unter Aufsicht der Direktion des Fürsorgewesens des Kantons Bern, Bern, unter Leitung der Heimkommission	3	34	2		34	Mädchen	2	Heimschule/Sonderschule, Freizeitgestaltung	Normale Begabung, Schulpflichtalter, minimal 6, maximal 13 Jahre, Aufenthalt: mindestens 2 Jahre, Maximaler Aufenthalt: bis Schulpflichtende	9	10	13				Jugendämter	Vormundschaftsbehörden	Fürsorgeämter								protestantisch, es werden aber auch katholische Mädchen aufgenommen	1	Prot.: Ortspfarrer, kath.: Pfarrer von Köniz	Prot.: Besuch des Gemeindegottesdienstes im Ort, kath.: Besuch des Gemeindegottesdienstes in Köniz
BE62	Bern	Foyer cantonale d'éducation pour jenues filles	Loveresse	Education de fillettes en âge de scolarité, sortant d'un milieu familiale déficient	3				1	24	2		24	fillettes	2	Scolarité, Travaux de maison, jardinage, Couture, Travaux manuels et pratiques (aide agricole)	Placement d'une durée de 2 ans au moins. Au plus tard jusqu'à la fin de la scolarité obligatoire	6	10	13				Autorités cantonales	Autorités communales	Autorités tutélaires	Avocats des mineurs							interkonfessionell	3	Prot.: pasteur de paroisse, kath.: curé de paroisse	Prot.: extérieur, kath.: extérieur
