ID	Quelle (source)	Erhebungsjahr (survey year)	Kanton (Canton)	Ort (city)	Anstalt (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 9"	Träger (agencies, funding bodies)	"Trägerschaft (agencies): Staatlich (governmental funded) = 1; Privat (privately funded)= 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Konfession (denomination)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik = 3, unbestimmbar (not specified) = 4"	gegründet (founded in)	Zweck (purpose of the institution)	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3 "	Pl‰tze (capacities)	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Kategorie (categories as shown in the original sources)
AG94	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Windisch	Heil- und Pflegeanstalt Königsfelden	6			st	1	ik	3	1866	"Gegründet 1866 und eröffnet 1872, erweitert durch Neubauten 1907/1908. Eig. Anstaltsgebäude mit Raum für 800 Personen. Zur Anstalt gehört ferner die ehem. Pflegeanstalt Königsfelden (in den Gebäuden des alten Franziskanerklosters), wo zur Zeit 150 unheilbare Geisteskranke untergebracht sind. Sie ist der Irrenanstalt angegliedert und steht unter der gleichen Direktion. (…) Aufnahme finden Geisteskranke aus dem Kanton und Kantonsfremde, soweit Raum. Bedingungen: Aufnahmegesuche nach Formular, ärztliches Zeugnis und Kostengarantie. Für Kranke, die auf Veranlassung der nächsten Angehörigen, resp. Vormünder oder Gemeindebehörden aufgenommen werden, überdies: 1. schriftliche Erklärung nach Formular und Bezeichnung der Klasse; 2. amtlicher Vermögens- und Einkommens-Ausweis nach Formular; 3. Garantieschein nach Formular und ärztlicher Bericht nach Formular."	3	800	6	Kranke, Fürsorge für Geisteskranke
AG95	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Lenzburg	Kantonale Zwangsarbeitsanstalt Lenzburg	1	5			1		3	1868	Verbunden mit der Strafanstalt. Besteht laut Gesetz vom 19. Februar 1868 und ist für Personen beiderlei Geschlechts als abgesonderte Abteilung der Strafanstalt Lenzburg eingerichtet und unter deren Verwaltung gestellt. Zweck: pflichtvergessene Eltern, Müssiggänger, Landstreicher und Trinker an ein geordnetes Leben und Pflichterfüllung zu gewöhnen. (…) Zur Stellung von Begehren um Versetzung in die Anstalt sind die Armenbehörden, die Gemeinderäte, die Kirchenpflegen, die Eltern und die Vormünder berechtigt, jedoch nur nach vorausgegangener fruchtloser Warnung an die Betreffenden. Das Bezirksgericht des Heimatortes entscheidet über die gestellten Begehren und bestimmt in jedem einzelnen Falle die Dauer der Detention, erstmals auf 6-18 Monate und im Wiederholungsfalle von 1-3 Jahren.	3	50	3	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
AI01	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AI	Appenzell	Armenhaus Appenzell	7				4		4	1900	Armenhaus	3	150	5	Armenfürsorge, Armenanstalten
AI02	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AI	Oberegg	Bürgerheim St. Anton Oberegg	7			k	1	rk	2	1861	Armenhaus für den Bezirk	3	30	2	Armenfürsorge, Armenanstalten
AR01	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Gmünden	Zwangsarbeits- und Korrektionsanstalt des Kantons Appenzell Ausserrhoden zu Gmünden Teufen	1	5			1		3	1884	"Staatsanstalt. Zweck: a) Personen, die bei anerkannter Arbeitsfähigkeit einem liederlichen, ausschweifenden oder arbeitsscheuen Lebenswandel sich hingeben und daher der Bürgergemeinde zur Last fallen, oder welche unter besondere Aufsicht gestellt werden müssen, oder solche, die ihre Familienpflichten nicht erfüllen oder die in den Armenhäusern die Ordnung erschweren, zu strenger Arbeit anzuhalten und womöglich wieder an ein tätiges und geregeltes Leben zu gewöhnen; b) Personen, welche von den Gerichten zu Gefängnis- oder Arbeitsstrafe verurteilt, und Bussenschuldner, die zum Vollzuge der eventuell ausgesprochenen Gefängnis- oder Arbeitsstrafe überwiesen worden sind, zur Verbüssung ihrer Strafe aufzunehmen und ebenfalls angemessen zu beschäftigen. (…) Über die Aufnahme in die Anstalt entscheidet der Regierungsrat."	3	50	3	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
AR02	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Herisau	Arbeitsanstalt Kreckelhof Herisau	1	3			4		4	1915	Gegr. 1915 durch die Gemeinde Herisau, um arbeitsfähigen, aber willensschwachen, unsoliden und pflichtvergessenen Bürgern der Gemeinde Aufnahme zu gewähren, sie im Anstaltsbetrieb angemessen zu beschäftigen und, wenn möglich, wieder zu ordentlichen Bürgern zu erziehen. Die Erstellung der Anstalt ermöglichte ein Bürger von Herisau, Herr Arthur Scheiss in St. Gallen, durch ein grosses Geschenk.	3	40	2	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
AR03	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Herisau	Kantonale Heil- und Pflegeanstalt Krombach-Herisau	6			st	1	ik	3	1908	Gegr. Durch den Kanton Appenzell A.-Rh. Auf Anregung und mit Unterstützung des appenzellischen Hilfsvereins für arme Geisteskranke zur Heilung und Verpflegung von Geisteskranken. (…) Aufnahme finden in erster Linie Kantonsbürger und sodann im Kanton wohnhafte Schweizerbürger. Je ein Flügel des ruhigen Männer- und des entsprechenden Frauenhauses ist für besserbemittelte Kranke eingerichtet (Geistes- und Gemütskranke, Psychopathen, Alkoholiker, Morphiumsüchtige, etc.). Zur Aufnahme ist erforderlich: (…) Für Geisteskranke, welche auf Verlangen ihrer Angehörigen, bezw. Der Vormünder oder Gemeindebehörden aufgenommen werden sollen: 1. die schriftliche Erklärung der Angehörigen, Vormünder oder Gemeindebehörden, dass sie die Aufnahme des Kranken verlangen, unter Bezeichnung der Klasse, in welcher er verpflegt werden soll, 2. ein die Geisteskrankheit nachweisendes und die Notwendigkeit der Aufnahme begründendes ärztliches Zeugnis, 3 die zivilstandsamtlichen Angaben der Personalien, 4. Sicherstellung der Zahlung der Verpflegungsgelder, 5. ein amtlicher Vermögens- und Einkommensausweis des betr. Kranken, der Eltern oder Unterstützungspflichtigen.	3	330	6	Kranke, Fürsorge für Geisteskranke
AR05	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Bühler	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR06	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Gais	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR07	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Grub	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR08	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Heiden	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR09	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Herisau	Bürgerheim Herisau	7			k	1	ik	3	1795	Armen, erwerbsunfähigen und hilfsbedürftigen Bürgern der Gemeinde Aufnahme zu gewähren und ihnen nach Möglichkeit familiäre Pflege und ausreichenden unterhalt zu bieten. Die Anstalt ist Eigentum der politischen Gemeinde und wird von ihr unterhalten.	3	130	4	Armenfürsorge, Armenanstalten
AR10	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Herisau	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR11	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Hundwil	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR12	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Lutzenberg	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR13	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Rehetobel	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR14	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Reute	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR15	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Schwellbrunn	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR16	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Speicher	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR17	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Stein	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR18	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Teufen	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR19	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Trogen	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR21	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Urnäsch	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR22	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Wald	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR23	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Walzenhausen	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
AR24	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AR	Wolfhalden	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
BE01	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Hindelbank	Arbeits- und Strafanstalt Hindelbank	1	4	5		1		3	1889	Errichtet 1889 gemäss Gesetz über kantonale Arbeitsanstalten vom 11. März 1884 zur administrativen Einweisung liederlicher, trunksüchtiger und arbeitsscheuer Frauen zum Zwecke der Wiederaufrichtung durch Arbeit, Seelsorge und geregeltes Leben. Die Anstalt steht unter der kantonalen Polizeidirektion. (…) Seit 1911, dem Brand der Frauenabteilung in St. Johannsen, beherbergt die Anstalt auch die gerichtlich verurteilten weiblichen Sträflinge des Kantons Bern, die jedoch von den Administrativen gesondert gehalten werden. Die Aufnahme der Administrativen geschieht durch Verfügung des Regierungsrates des Kantons Bern auf Grund des Armenpolizeigesetzes vom 1. Dezember 1912 für 6 Monate bis 2 Jahre. (…) Zahl der Insassen: Administrative: durchschnittlich 80, gerichtlich Verurteilte: 20-30.	2	80	3	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
BE02	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Gampelen	Arbeiterkolonie Nusshof	2				1	ik	3	1905	1905 durch die Strafanstalt Witzwil als Heim für entlassene Sträflinge, um solchen Entlassenen, die den vernünftigen Gebrauch der wiedererlangten Freiheit sich aneignen wollen, durch kürzeren oder längeren, freiwilligen Aufenthalt eine Übergangsstation darzubieten. Soweit Platz vorhanden, können auch Arbeitslose überhaupt auf ihr Gesuch um Aufnahme Beschäftigung finden.	1	30	2	Armenfürsorge, Fürsorge für entlassene Gefangene
BE03	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Le Landeron	Arbeitsanstalt St. Johannsen bei Le Landeron, Gemeinde Gals (mit Filiale in Ins)	1				1		3	1884	Staatsanstalt zur Besserung liederlicher, arbeitsscheuer männlicher Personen (Gesetz vom 1. Dezember 1912 über die Armenpolizei und die Arbeits-Enthaltungsanstalten). (…) Durchschnittlich 240 Männer.	1	300	6	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
BE04	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Krauchthal	Strafanstalt Thorberg Krauchthal	5				1		3	1949	Gegr. 1849 als Zucht- und Korrektionshaus für kriminell und korrektionell Verurteilte. Sie steht unter Aufsicht der kantonalen Polizeidirektion, resp. deren Gefängniskommission. (…) Durchschnittlicher Bestand: 180 (Männer).	1	260	6	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
BE05	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Langnau im Emmental	Verpflegungsanstalt Bärau	7			k	1	ik	3	1898	Gegr. 1898 durch die Gemeinden des Amtsbezirks Signau zur Aufnahme und würdigen Versorgung erwachsener Personen, welche der öffentlichen Versorgung durch die beteiligten Gemeinden und dem Staat anheimgefallen sind. Grundsätzlich ausgeschlossen sind: unruhige Geisteskranke, schwere Epileptiker, mit ansteckenden Krankheiten Behaftete und unverbesserliche Störefriede, sofern diese in einer Arbeitsanstalt Unterkunft finden können. Aufgenommen werden ferner Freiwillige, Bevormundete und Rekonvaleszenten, soweit es der Raum gestattet.	3	410	6	Armenfürsorge, Armenanstalten
BE06	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Kirchlindach	Bernische Heilstätte Nüchtern für alkoholkranke Männer bei Kirchlindach	4			pr	2	prot	1	1891	"Männern, welche der Trunksucht anheimgefallen sind, durch geeignete Pflege Heilung zu vermitteln und sie an eine nüchterne, geordnete Lebensweise zu gewöhnen. Diesen Zweck sucht sie zu erreichen: a) durch vollständige Enthaltsamkeit von allen geistigen Getränken; b) durch eine einfache, gesunde und nahrhafte Kost; c) durch Gewöhnung an regelmässige Arbeit in Landwirtschaft, Werkstätten, Haus und Garten; d) durch sittlich-religiöse Einwirkung und Belehrung. "	1	40	2	Kranke, Heilstätten für Alkoholkranke
BE07	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Gampelen	Verein Arbeiterheim Tannenhof bei Gampelen	1	2		pr	2	prot	1	1889	Gegr. 1889 durch einen Verein zu dem Zwecke, mittelst Betrieb eines Landgutes Arbeitsuchenden, sowie entlassenen, oder Arbeit suchenden stellenlosen Sträflingen schweizerischer Nationalität und, soweit Raum, auch Ausländern ein vorübergehendes Heim zu eröffnen, woselbst sie gegen Unterkunft, Verpflegung und Lohn bis zu anderweitiger dauernder Anstellung der landwirtschaftlichen Arbeit obzuliegen haben.	1	150	5	Arbeitsfürsorge, Arbeitskolonien
BE08	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Sonvilier	Anstalt Prés-aux boeufs Sonvilier	7			st	1	ik	3	1900	Gegründet 1900 durch den Staat als Erziehungsanstalt für Knaben, 1931 dem Verpflegungsheim Worben verpachtet und umgewandelt in ein Versorgungsheim für jurassische ältere, arme, eventuell auch böswillige Pfleglinge.	3	50	3	Armenfürsorge, Armenanstalten
BE09	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	BE	Prêles	Kantonale Zwangserziehungsanstalt Tessenberg Prêles	3				4	prot	1		Nacherziehung Gefährdeter und Verwahrloster	1	100	4	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
BE41	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	BE	Brunnadern	Anstalt für gefährdete Mädchen Bern-Brunnadern	3				2	prot	1		Erziehung gefährdeter Mädchen	2	22	2	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
BE47	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Riggisberg	Mittelländische Verpflegungsanstalt Riggisberg	7			k	1	ik	3	1880	Raum für 460 Pfleglinge (Durchschnitt: 455), die hauptsächlich mit Landwirtschaft, die invaliden Handwerker in ihrem Berufe beschäftigt werden.	3	460	6	Armenfürsorge, Armenanstalten
BE49	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Belp	Heimstätte Sonnegg für weibliche Entlassene Belp	1	3			2	prot	1	1932	Aufnahme von weiblichen Personen, welche aus Gefängnissen, Straf- und Arbeitsanstalten des Kts. Bern, sowie von solchen, die aus ausserkantonalen Strafanstalten entlassen werden, aber im Kanton Bern heimatberechtigt sind. Ausnahmsweise können, soweit der Raum es gestattet, auch andere schutzbedürftige Mädchen aufgenommen werden. (…) Der Eintritt in das Heim muss, soweit es Personen betrifft, die eigenen Rechtes sind, freiwillig erfolgen. Bevormundete Frauen und Mädchen können auf Gesuch ihrer Vormünder aufgenommen werden. Beschäftigung im Winter mit Flicken und Nähen, Waschen und Glätten, im Sommer mit Garten- und Gemüsebau für den Verkauf, daneben das ganze Jahr hindurch Arbeiten im Haushalt. Ausnahmsweise können die Pfleglinge auch zuverlässigen, ehrenhaften und christlich gesinnten Personen ausserhalb des Heims zeitweise tagsüber in Dienst gegeben werden. 	2	20	2	Armenfürsorge, Fürsorge für entlassene Gefangene
BE50	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Kehrsatz	Stadtbernische Fürsorgeanstalt Kühlewil bei Kehrsatz	7				1		4	1890	Sie dient zur Aufnahme von erwachsenen, versorgungsbedürftigen Armen, welche in der Stadt Bern wohnsitzberechtigt sind. Raum für 350 Pfleglinge, die, soweit noch arbeitsfähig, in der Landwirtschaft und in der Hausindustrie beschäftigt werden.	3	350	6	Armenfürsorge, Armenanstalten
BE56	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Vechigen	Oberländische Armenverpflegungsanstalt Utzigen, Gemeinde Vechigen, Bezirk Bern	7			k	1	ik	3	1875	"Eigentum von 80 oberländischen Einwohnergemeinden aus den Amtsbezirken Thun, Interlaken, Ober- und Niedersimmental, Saanen, Frutigen und Oberhasli. Raum für 550 Personen (Männer und Frauen), Durchschnitt: 504, die mit Landwirtschaft, in Schusterei, Schneiderei, Bäckerei, Schmiede, Wagnerei, Schreinerei, Glaserei, mit Stricken und Flicken, Spinnen und Fabrikation von Strohbändern beschäftigt werden. Aufnahme erwachsener, gebrechlicher Personen, welche als Arme der öffentlichen Versorgung anheimgefallen sind, und aus diesem oder jenem Grunde bei Privaten gar nicht oder nur mit grossen Kosten untergebracht werden können.  (…) Disziplinarbefugnisse des Verwalters gegenüber den Pfleglingen: 1. Verweis bei leichteren Vergehen und Verstössen gegen die Hausordnung; 2. bei Rückfällen oder gröberen Ausschreitungen Arrest, und zwar je nach obwaltenden Umständen: 1) gewöhnlicher Arrest bis auf 4 Tage, oder b) verschärfter Arrest bis auf 10 Tage; 3. nach mehrmaliger Desertion können die Betreffenden auf einige Zeit in eine besondere Abteilung versetzt werden."	3	550	6	Armenfürsorge, Armenanstalten
BE57	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Lützelflüh	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
BE58	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Muri	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
BE59	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Saanen	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
BE60	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BE	Tramelan-dessus	Gemeindearmenhaus	7				4		4		Gemeindearmenhaus	3		7	Armenfürsorge, Armenanstalten
BL01	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BL	Läufelfingen	Arbeiterheim (Kolonie) Dietisberg bei Läufelfingen	2			pr	2	prot	1	1904	Zufluchtsstätte für arbeitslose, arbeitsfähige Männer, für solche, die von der Gefahr des Alkoholmissbrauchs, des Versinkens in Müssiggang und Stromertum bedroht, sich wieder an ein geordnetes Leben der Arbeit gewöhnen wollen, ferner für entlassene Sträflinge, denen der Rücktritt in die bürgerliche Gesellschaft vermittelt und erleichtert werden soll. Sie bietet ihre Dienste ebenfalls den Landarmenpflegen, der Schutzaufsicht, den Vormundschaftsbehörden, sowie der allgemeinen Fürsorgetätigkeit in mannigfacher Art an. (…) Der Eintritt ist freiwillige, soweit nicht behördliche Anordnungen für den Betreffenden wegleitend sind. Der Entscheid über die Aufnahmen steht mit Genehmigung des Präsidenten dem Verwalter zu. In erster Linie werden Landesangehörige berücksichtigt und solche, die der Anstalt von Behörden und Privaten empfohlen werden.	1	65	3	Arbeitsfürsorge, Arbeitskolonien
BL03	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	BL	Reinach	Landheim Erlenhof der Basler Webstube, Verein für Jugendfürsorge	3				2	ik	3		Beherbergung, Erziehung und Beschäftigung schwererziehbarer, obdachloser, verwahrloster Burschen	1	30	2	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
BL04	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BL	Liestal	Basellandschaftliche Strafanstalt, Abteilung für Zwangsarbeiter	1	5			1		3	1876	Staatsanstalt. Laut Verordnung des Regierungsrates vom 27. Januar 1877 werden in der Strafanstalt verwahrt und nach der Hausordnung behandelt: die vom Regierungsrat wegen Arbeitsscheu, Bettels, Trunksucht etc. oder Vernachlässigung der Familienpflichten zu einer Zwangsarbeitsstrafe Verurteilten. Diese werden von den übrigen Abteilungen getrennt gehalten.	1	33	2	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
BL05	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BL	Liestal	Heil- und Pflegeanstalt Liestal	6				1		3	1852	Gegr. 1852, erweitert 1889 als Abteilung des Basellandschaftlichen Kantonsspitals zur Versorgung von unheilbaren Geisteskranken. Seit 1932 selbständige ärztliche Leitung.	3	200	6	Kranke, Fürsorge für Geisteskranke
BL10	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	BL	Lausen	Frauenheim Wolfbrunnen Lausen	3				2	prot	1		Hilfe für entgleiste Mädchen und Frauen	2	45	2	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
BS02	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	BS	Basel	Basler Jugendheim, Zweig der Basler Webstube, Verein für Jugendfürsorge	3			pr	2	ik	3		Beherbergung, Erziehung und handwerkliche Berufsausbildung von besonderer Erziehung bedürftigen Burschen	1	30	2	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
BS03	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	BS	Basel	St. Katharinaheim Basel	3				2	rk	2		Erziehung von schwererziehbaren Mädchen	2	70	3	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
BS04	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BS	Basel	Zwangsarbeitsanstalt, Abteilung der Strafanstalt Basel	1	5			1		3	1901	Staatsanstalt. Untersteht dem Justizdepartement. Nach dem Gesetz betr. Versorgung in Zwangsarbeits- und Besserungsanstalten vom 21. Februar 1901/27. April 1911 können eingewiesen werden: Personen, welche a) durch Müssiggang und Arbeitsscheu ihren Familien oder der öffentlichen Wohltätigkeit zur Last fallen, oder b) die private Wohltätigkeit auf ungebührliche Art in Anspruch nehmen, oder c) sich der ihnen obliegenden Pflicht für den Unterhalt ihrer Familie entziehen, oder d) durch Liederlichkeit,schlechte Aufführung, unsittliches Betragen oder Trunksucht öffentliches Ärgernis erregen oder die öffentliche Sicherheit gefährden. Die Versorgung wird durch den Regierungsrat auf Antrag des Polizeidepartements verfügt. Antragsberechtigt sind: die Angehörigen der zu Versorgenden, seine Vormünder und die Vormundschaftsbehörden, die Gerichte, die Bürger- und Einwohnergemeinderäte. 	3		7	Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten)
BS06	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	BS	Riehen	Evangelische Heilanstalt Sonnenhalde für weibliche Nerven- und Gemütskranke Riehen	6				2		1	1900	Eigentum der Diakonissenanstalt in Riehen. Zweck: weiblichen Gemüts- und Nervenkranken Unterkunft und Pflege in einer unter fachmännischer Leitung stehenden christlichen Anstalt zu bieten.	2	55	3	Kranke, Fürsorge für Geisteskranke
