ID	Kanton (Canton)	Ort (city)	Name (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Zweck 1933 (Quelle); purpose of the institution according to the source 1933 (Wild Albert)"	"Zweck 1939 (Quelle)
Z=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1939"	"Zweck/Spezifikation Pro Juventute 1944; purpose of the institution according to the source 1944"	"Zweck 1945 (Quelle)
ZH=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1945"	"Zweck 1954 (Quelle); purpose of the instititution according to the source 1954 (Schwarz Martin)"	"Trägerschaft (agencies, funded bodies): Staatlich (governmental) = 1; Privat (privately funded) = 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Trägerschaft (agencies according to) Wild 1933	Trägerschaft (agencies according to) Pro Juventute 1944	Trägerschaft (agencies according to) Schwarz 1954	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Platzzahl (capacieties according to source) 1933 (Quelle) 	Platzzahl (capacities according to source) 1939 (Quelle)	Platzzahl (capacities according to source) Pro Juventute 1944 (Quelle)	Platzzahl (capacities according to source) 1945 (Quelle) 	Platzzahl (capacities according to source) 1954 (Quelle) 	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified)= 4"	Geschlecht (gender ratio according to source) Wild 1933	Geschlecht (gender ratio according to source) 1939 (Quelle)	Geschlecht (gender ratio according to source) 1945 Quelle	Geschlecht  (gender ratio according to source) Pro Juventute 1944	Geschlecht (gender ratio according to source) Schwarz 1954	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik (interdenominational) = 3, unbestimmbar (not specified) = 4"	Konfession (denomination according to source) Wild 1933	Konfession (denomination according to source) Pro Juventute 1944	Konfession (denomination according to source) Schwarz 1954												
BE23	Bern	Frutigen	Bezirksgefängnis Frutigen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1				1					14	3					3	3			3												
BE24	Bern	Interlaken	Bezirksgefängnis Interlaken	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Polizeigefängnis;
c) Vollzug von Haft- und Gefängnisstrafen
"	1			1	2					24	3					3	3			3												
BE25	Bern	Konolfingen	Bezirksgefängnis Konolfingen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	7						3					3	3			3												
BE26	Bern	La Neuveville	Bezirksgefängnis La Neuveville	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					3	3					3	3			3												
BE27	Bern	Langnau im Emmental	Bezirksgefängnis Signau	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	2					24	3					3	3			3												
BE28	Bern	Laufen	Bezirksgefängnis Laufen	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Vollzug Haft- und Gefängnisstrafen bis 30 Tagen"	1			1	2					20	3					3	3			3												
BE29	Bern	Laupen	Bezirksgefängnis Laupen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					8	3					3	3			3												
BE30	Bern	Meiringen	Bezirksgefängnis Oberhasle	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					15	3					3	3			3												
BE31	Bern	Moutier	Bezirksgefängnis Moutier	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					15	3					3	3			3												
BE32	Bern	Nidau	Bezirksgefängnis Nidau	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					10	3					3	3			3												
BE33	Bern	Porrentruy	Bezirksgefängnis Porrentruy	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	2					22	3					3	3			3												
BE34	Bern	Saanen	Bezirksgefängnis Saanen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					6	3					3	3			3												
BE35	Bern	Saignelégier	Bezirksgefängnis Franches Montagnes	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	7						3					3	3			3												
BE36	Bern	Schwarzenburg	Bezirksgefängnis Schwarzenburg	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	7						3					3	3			3												
BE37	Bern	Thun	Bezirksgefängnis Thun	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Vollzug Haft- und Gefängnisstrafen bis 30 Tagen"	1			1	2					30	3					3	3			3												
BE38	Bern	Trachselwald	Bezirksgefängnis Trachselwald	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					10	3					3	3			3												
BE39	Bern	Wangen an der Aare	Bezirksgefängnis Wangen an der Aare	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					12	3					3	3			3												
BE40	Bern	Wimmis	Bezirksgefängnis Niedersimmental	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					5	3					3	3			3												
BE41	Bern	Bern	Evangelisches Mädchenheim Brunnadern	3				Erziehung gefährdeter Mädchen.		16–21 Jahre		Nacherziehung und berufliche Ausbildung weiblicher Jugendlicher	2		Komitee	2	2	22		24		30	2	2	2		2	2	1	1	1	1												
BE43	Bern	Bellelay	Asile d'aliénés de Bellelay	6								"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB und zur Begutachtung von Straffälligen."	1			1	6					420	3					3	3			3												
BE44	Bern	Wabern	Schweizerisches Erziehungsheim Bächtelen	3								"Nacherziehung männlicher Jugendlicher;
Vom Kanton benutzte Anstalt für die Internierung von Jugendlichen nach StGB."	2			2	3					50	vgl. Buch Brodbeck in NB					1	1			1												
BE45	Bern	Münsingen	Heil- und Pflegeanstalt Münsingen	6								"Heil- und Pflegeanstalt;
Vom Kanton und verschiedenen Behörden benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach StGB."	1			1	6					1090	3					3	3			3												
BE46	Bern	Bern	Heil- und Pflegeanstalt Waldau	6								"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für Internierungen von Unzurechnungsfähigen nach Art. 14/15 StGB, sowie zur psychiatrischen Untersuchung von Straffälligen."	1			1	6					1100	3					3	3			3												
BE47	Bern	Riggisberg	Mittelländische Verpflegungsanstalt	7								"Fürsorgeanstalt;
Von der Polizeidirektion Bern benutzte Anstalt für administrative Versorgungen."	3			3	6	460				550	3					3	3	3		3												
BE48	Bern	Meiringen	Heil- und Pflegeanstalt Meiringen	6								Heil- und Pflegeanstalt für Frauen	2			2	6					200	3					2	3			3												
BE49	Bern	Belp	Heimstätte Sonnegg	1	3			Aufnahme von weiblichen Personen, welche aus Gefängnissen, Straf- und Arbeitsanstalten des Kantons Bern, sowie von solchen, die aus ausserkantonalen Strafanstalten entlassen werden, aber im Kanton Bern heimatberechtigt sind. Ausnahmsweise können, soweit der Raum es gestattet, auch andere schutzbedürftige Mädchen aufgenommen werden. (…) Der Eintritt in das Heim muss, soweit es Personen betrifft, die eigenen Rechtes sind, freiwillig erfolgen. Bevormundete Frauen und Mädchen können auf Gesuch ihrer Vormünder aufgenommen werden. Beschäftigung im Winter mit Flicken und Nähen, Waschen und Glätten, im Sommer mit Garten- und Gemüsebau für den Verkauf, daneben das ganze Jahr hindurch Arbeiten im Haushalt. Ausnahmsweise können die Pfleglinge auch zuverlässigen, ehrenhaften und christlich gesinnten Personen ausserhalb des Heims zeitweise tagsüber in Dienst gegeben werden. 				"Nacherziehung weiblicher Jugendlicher;
Von verschiedenen Behörden benutzte Anstalt für die Internierung von weiblichen Jugendlichen nach StGB."	2			2	2	20				22	2	2				2	1	1		1												
BE52	Bern	Münsingen	Loryheim Münsingen	3						15–20 Jahre	Jugendl.	"Nacherziehung weiblicher Jugendlicher;
Obligatorischer Hauswirtschaftsunterricht mit Abschlussprüfung in Bern;
Möglichkeit, die Lehre einer Damenschneiderin oder Wäscheschneiderin zu absolvieren;
Vom Kanton benutzte Anstalt zur Internierung von weiblichen Jugendlichen nach StGB."	1		Staat	1	2			30	31	30	2				2	2	1		1	interkonfessionell, Leitung reformiert												
BE53	Bern	Köniz	Mädchenheim Schloss Köniz	3								Nacherziehung von geistesschwachen, weiblichen Jugendlichen, die straffällig wurden.	2			2	2					47	2					2	1			interkonfessionell, Leitung reformiert												
BE64	Bern	Iseltwald	Webstübli Iseltwalt	3	8							"Aufnahme geistesschwacher männlicher Jugendlicher, die unter Aufsicht im Handweben angelernt werden;
Für Gemeindebehörden benutztes Heim für die Internierung von geistesschwachen männlichen Jugendlichen im Sinne des StGB."	2			2	1					10	1					1	1			1												
BE65	Bern	Erlach	Staatliches Erziehungsheim für Knaben	3								"Erziehung schwererziehbarer Knaben;
Gelegentlich benutzte Anstalt für die Internierung männlicher Jugendlicher nach StGB."	1			1	3					58	1					1	1			1												
BL01	Basel-Landschaft	Läufelfingen	Arbeiterkolonie Dietisberg	2				Zufluchtsstätte für arbeitslose, arbeitsfähige Männer, für solche, die von der Gefahr des Alkoholmissbrauchs, des Versinkens in Müssiggang und Stromertum bedroht, sich wieder an ein geordnetes Leben der Arbeit gewöhnen wollen, ferner für entlassene Sträflinge, denen der Rücktritt in die bürgerliche Gesellschaft vermittelt und erleichtert werden soll. Sie bietet ihre Dienste ebenfalls den Landarmenpflegen, der Schutzaufsicht, den Vormundschaftsbehörden, sowie der allgemeinen Fürsorgetätigkeit in mannigfacher Art an. (…) Der Eintritt ist freiwillige, soweit nicht behördliche Anordnungen für den Betreffenden wegleitend sind. Der Entscheid über die Aufnahmen steht mit Genehmigung des Präsidenten dem Verwalter zu. In erster Linie werden Landesangehörige berücksichtigt und solche, die der Anstalt von Behörden und Privaten empfohlen werden.				"Arbeitserziehung;
Zufluchtstätte für arbeitslose, aber noch arbeitsfähige Männer;
Anstalt für administrative Verwahrung wegen Trunksucht, Liederlichkeit, Arbeitsscheu;
Heim für Strafentlassene"	2			2	1	65				65	1	1				1	4	1		3												
BL03	Basel-Landschaft	Reinach	Landheim Erlenhof	3	6			Beherbergung, Erziehung und Beschäftigung schwererziehbarer, obdachloser, verwahrloster Burschen.		16–20 Jahre		"Erziehungsheim für schwierige Jugendliche;
Psychiatrische Beobachtungsstation;
Korrektionsaufenthaltsanstalt"	2		Basler Webstube, Verein für Jugendfürsorge	2	3	30		50		60	1				1	1	3	3	3	3												
BL04	Basel-Landschaft	Liestal	Kantonale Strafanstalt Liestal	5				Staatsanstalt. Laut Verordnung des Regierungsrates vom 27. Januar 1877 werden in der Strafanstalt verwahrt und nach der Hausordnung behandelt: die vom Regierungsrat wegen Arbeitsscheu, Bettels, Trunksucht etc. oder Vernachlässigung der Familienpflichten zu einer Zwangsarbeitsstrafe Verurteilten. Diese werden von den übrigen Abteilungen getrennt gehalten.	Z, G, ev. V		ZH, G, H, V, A	"Gefängnis;
Zuchthaus;
Verwahrung;
Arbeitserziehung;
administrative Versorgungen"	1				4	33 (nur Abteilung für Zwangsarbeiter)	110		88	126	4						3			3												
BL06	Basel-Landschaft	Arlesheim	Bezirksgefängnis Arlesheim	5					H			"Untersuchungsgefängnis;
Haftgefängnis bis zu 3 Monaten"	1			1	1					16	3					3	3			3												
BL07	Basel-Landschaft	Liestal	Bezirksgefängnis Liestal	5					H			"Untersuchungsgefängnis;
Haftgefängnis bis zu 3 Monaten"	1			1	1					10	3					3	3			3												
BL08	Basel-Landschaft	Sissach	Bezirksgefängnis Sissach	5					H			Untersuchungsgefängnis	1			1	1					4	3					3	3			3												
BL09	Basel-Landschaft	Waldenburg	Bezirksgefängnis Waldenburg	5					H			Untersuchungsgefängnis	1			1	1					3	3					3	3			3												
BL10	Basel-Landschaft	Lausen	Frauenheim Wolfbrunnen	3	8			Hilfe für entgleiste Mädchen und Frauen.		"16–35 Jahre;
Das Heim gehört nur bedingt zur Kategorie der Anstalten für Schwererziehbare Mädchen. Das Heim nimmt arbeitslose und auf Abwege geratene Frauen, Mütter mit neugeborenen Kindern und Schwangere zur Nacherziehung auf."		"Nacherziehung lediger Mütter;
Von verschiedenen Kantonen benutzte Anstalt für Massnahmenvollzug nach StGB."	2		Verein Frauenheim Wolfbrunnen	2	2	45		29 Frauen, 20 Kinder		21	2				2	2	1	1	1	1												
BS01	Basel-Stadt	Basel	St. Verenahof	3	8							"Katholisches Heim für schwangere Töchter vor und nach der Geburt ihrer Kinder;
Kinderheim für Säuglinge;
Aufnahme schulentlassener Töchter und Frauen für administrative Versorgung;
Beschäftigung in Küche, Haushalt und Kinderpflege."	2			2	3					63	2					2	3			3												
BS02	Basel-Stadt	Basel	Basler Jugendheim	3				Beherbergung, Erziehung und handwerkliche Berufsausbildung von besonderer Erziehung bedürftigen Burschen.		"Heim zur Beherbergung, Erziehung und handwerklichen Berufsausbildung besonderer Erziehung bedürftiger Burschen.; 14–20 Jahre"		"Nacherziehung schulentlassener männlicher Jugendlicher;
Vom Kanton benutzte Anstalt für Einweisung nach Art. 9 Ziffer 1 StGB.;
Vollständig getrennte Abteilungen:
a) Jugendheim: Einweisungen nach Art. 91 Ziffer 1 StGB ca. 1/3 des Bestandes und zivilrechtliche Einweisung ca. 2/3 des Bestandes.
b) Aufnahmeheim: Auch räumlich vom Jugendheim getrennt. Aufnahme von straf- und zivilrechtlichen Einweisungen. Vor allem durch Jugendanwaltschaft benutzte Abteilung für die Unterbringung von männlichen Jugendlichen, die in Strafuntersuchung stehen. Verbüssung von Einschliessungsstrafen."	2		Basler Webstube, Verein für Jugendfürsorge	3	2	30		30		54	1				1	1	3	3	3	3												
BS03	Basel-Stadt	Basel	St. Katharinaheim	3				Erziehung von schwererziehbaren Mädchen.		14–20 Jahre		"Nacherziehung von schwierigen schulentlassenen katholischen Mädchen;
Von Kanton benutzte Anstalt für Internierungen von weiblichen Jugendlichen im Sinne des Massnahmenvollzugs."	2		Katharinawerk	2	3	70		58		54	2				2	2	2	2	2	2												
BS04	Basel-Stadt	Basel	Strafanstalt Basel-Stadt	5				Zwangsarbeitsanstalt, Abteilung der Strafanstalt Basel: Staatsanstalt. Untersteht dem Justizdepartement. Nach dem Gesetz betreffend Versorgung in Zwangsarbeits- und Besserungsanstalten vom 21. Februar 1901/27. April 1911 können eingewiesen werden: Personen, welche a) durch Müssiggang und Arbeitsscheu ihren Familien oder der öffentlichen Wohltätigkeit zur Last fallen, oder b) die private Wohltätigkeit auf ungebührliche Art in Anspruch nehmen, oder c) sich der ihnen obliegenden Pflicht für den Unterhalt ihrer Familie entziehen, oder d) durch Liederlichkeit, schlechte Aufführung, unsittliches Betragen oder Trunksucht öffentliches Ärgernis erregen oder die öffentliche Sicherheit gefährden. Die Versorgung wird durch den Regierungsrat auf Antrag des Polizeidepartements verfügt. Antragsberechtigt sind: die Angehörigen der zu Versorgenden, seine Vormünder und die Vormundschaftsbehörden, die Gerichte, die Bürger- und Einwohnergemeinderäte. 	Z, G, H, ev. V		ZH, G	"Gefängnis;
Zuchthaus;
Administrative Versorgung (Einzelfälle)"	1			1	4		125		135	140	3					3	3			3												
BS05	Basel-Stadt	Riehen	Anstalt zur Hoffnung	3	8							"Schulung und Erziehung von geistesschwachen Kindern und Jugendlichen;
Vom Kanton benutzte Anstalt für Massnahmenvollzug nach StGB."	1	staatlich		1	3				78	110	3					3	3			3												
BS06	Basel-Stadt	Riehen	Evangelische Heilanstalt Sonnenhalde für weibliche Nerven- und Gemütskranke Riehen	6				Eigentum der Diakonissenanstalt in Riehen. Zweck: weiblichen Gemüts- und Nervenkranken Unterkunft und Pflege in einer unter fachmännischer Leitung stehenden christlichen Anstalt zu bieten.					2				3	55					2						1															
BS08	Basel-Stadt	Basel	Heil- und Pflegeanstalt Friedmatt	6				"Aufnahmebedingungen: a) ein durch den Kranken selbst oder durch seine angehörigen oder Alimentationspflichtigen oder durch eine Behörde gestelltes mündliches Aufnahmegesuch; b) Nachweis einer geistigen Störung durch ärztliches Zeugnis; c) genügende Garantie für Kosten oder 1/4 jährliche Vorausbezahlung nebst schriftlicher Garantie der Zahlung anderweitiger aus dem Aufenthalte des Kranken erwachsenden Kosten; d) die nötigen Ausweisschriften und bei Kranken aus andern Kantonen und dem Auslande unverdächtige Heimatsurkunden; e) der Besitz der durch die Reglemente vorgeschriebenen Effekten. In dringenden Fällen erfolgt die Aufnahme provisorisch. Wenn Behörden oder Verwandte, welche die Versorgung veranlasst haben, die Entlassung eines nicht geheilten Kranken verlangen, haben sie der Anstalt einen Schein zu unterzeichnen, in welchem sie die volle Verantwortlichkeit für etwaige Folgen der verfrühten Entlassung anerkennen."				"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für Internierungen von Unzurechenfähigen nach Art. 14/15 StGB."				1	6	400				550	3					3	3	3		3												
BS09	Basel-Stadt	Basel	Lohnhofgefangenschaften Basel	5					H		UH, H	"a) Untersuchungsgefängnis;
b) Vollzug von Arrest- und Haftstrafen bis zu 30 Tagen;
c) Vollzug von Gefängnisstrafen bis zu 3 Wochen"	1			1	4					125	3					3	3			3												
BS12	Basel-Stadt	Basel	Bürgerliches Waisenhaus Basel	3				Basler Bürgerkinder zu erziehen.					4				4	135					3						3	3	3													
FR01	Fribourg	Sugiez	Les Etablissements pénitentiaires de Bellechasse	1	3	4	5	"Sapinière: La Sapinière reçoit d'abord les buveurs invétérés fribourgeois mais aussi ceux d'autres cantons, moyennant un prix de pension en rapport avec l'état de santé du pensionnaire. La plupart cultive les champs, d'autres exercent leur métier.
Erlenhof: L'asile recueille les détenus libérés qui ne peuvent encore momentanément se conduire eux-mêmes ou qui ne peuvent trouver un emploi à leur sortie de prison. (…) Le plus grand nombre des pensionnaires est occupé dans l'agriculture. Un certain nombre de métiers sont attachés à l'institut, tels que menuiserie, charpenterie, vannerie, etc.
Maison de travail: Amendement des vagabonds, des paresseux et mendiants individus qui ne font, par leur travail et leur conduite, aucun effort pour se sauver de la misère (loi du 2 mai 1828). les jugements sont rendus par les préfets.
Colonie de travail pour femmes: Dans cette maison cellulaire se trouvent réunies les femmes condamnées et internées. Elle comprend deux quartiers: le rez de chausseée est réservé aux jeunes filles. Le premier étage est occupé par les femmes adultes.
"	Z (Maison de force), G (Prison), V (Colonie de Travail), A (Erlenhof), T (Sapinière)		"Strafanstalt: G, ZH, V
Tannenhof: T
Erlenhof: Jugendl.
Arbeitshaus: A, Adm. V"	"Gefängnis;
Zuchthaus;
Verwahrung;
Arbeitserziehung;
Administrative Versorgung;
Versorgung von Gewohnheitstrinkern;
Versorgung und Verwahrung von Unzurechnungsfähigen;
Abteilung für Internierung von männlichen Jugendlichen (Erlenhof)"	1			1	6	>220			ca. 800	460	3					3	3	2		3												
FR02	Fribourg	Marsens	Etablissement psychiatrique de Marsens	6								"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB."	1			1	6					485	3					3	3			3												
FR03	Fribourg	Lully	Institut Bon Pasteur	3						14–25 Jahre		"Nacherziehung gefährdeter und schwererziehbarer katholischer Mädchen;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung weiblicher Jugendlicher nach Art. 9 StGB."	2		Société Immobilière	2	2			45		26	2				2	2	2		2	2												
FR04	Fribourg	Villars-les-Joncs	Institut Bon Pasteur	3								Erziehungsanstalt für weibliche Jugendliche	2			2	7						2					2	2			2												
FR05	Freiburg	Uebemil/Villars-les-Joncs	St. Marguerite	3				Erziehung junger Mädchen.		bis 25, evtl. bis 30			2		Société Immobilière		2	59		45			2	2			2		2	2	2													
FR06	Fribourg	Montet (Broye)	Orphelinat Institut Marini	3				"Elever des orphelins ou enfants pauvres et leur procurer un métier; Nachschulpflichtige."					2				3	90					1	1					4	2														
FR07	Fribourg	Drognens	Institut St. Nicolas	3				Maison de relèvement pour garçons difficiles.		"Es werden nur erziehungsfähige, geistig nicht minderwärtige Burschen aufgenommen; 8–18 Jahre"		"Erziehung unter Aufsicht nach Art. 84 StGB;
Erziehungsanstalt nach Art. 91 StGB für katholische, männliche Jugendliche;"	2		Salvatorianer-Orden		4	110		140			1				1	1	2	2	2	2												
FR09	Freiburg	Sonnenwyl	Maison de la Ste. Famille	3						6–20 Jahre			2		Privatgesellschaft		3			ca. 70			2				2		2		2													
FR10	Fribourg	Fribourg	Prison Centrale de Fribourg	5					G, H		G, H	"Untersuchungsgefängnis;
Polizeigefängnis;
Haftgefängnis;
Vollzug von Gefängnisstrafen bis zu 1 Monat für Männer und bis zu 2 Monaten für Frauen"	1			1	2		50			40	3					3	3			3												
FR11	Fribourg	Bulle	Prison de District de la Gruyère	5					G, H		G, H	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					18	3					3	3			3												
FR12	Fribourg	Châtel St. Denis	Prison du District de la Veveyse	5					G, H		G, H	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					10	3					3	3			3												
FR13	Fribourg	Estavayer-le-Lac	Prison du District de la Broye	5					G, H		G, H	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					10	3					3	3			3												
FR14	Fribourg	Murten	Prison de District du Lac	5					G, H		G, H	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					11	3					3	3			3												
FR15	Fribourg	Romont	Prison de District de la Glâne	5					G, H		G, H	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					11	3					3	3			3												
FR16	Fribourg	Tavel	Prison de District de la Singie	5					G, H		G, H	"Untersuchungsgefängnis;
Polizeigefängnis;
Haftgefängnis;
Vollzug von Gefängnisstrafen bis zu 1 Monat"	1			1	1					12	3					3	3			3												
GE01	Genf	Genf	Clinique Psychiatrique de Bel-Air	6				"Lois sur le régime des aliénés de 1838 modifiée en 1895. L'asile est destiné au traitement des maladies mentales; reçoit également les alcooliques, les épileptiques, etc. Il a été ouvert en novembre 1900. (…) Nul ne peut être interné dans un établissement public ou privé destiné à la garde et au traitement des aliénés, sans une autorisation du Département de justice et police. Lorsqu'il y aura danger manifeste pour la sécurité des personnes, les directeurs d'établissements publics pourront recevoir des aliénés dont l'identité est justifiée, et sur le vu d'un certificat médical, à charge d'obtenir l'autorisation du Département de justice et police, dans les vingt-quatre heures qui suivront l'internement. Hormis ce cas, les placements se distinguent en placements d'office et placements volontaires. Les placements d'office sont ceux qui sont ordonnés par le Département de justice et police, sans qu'il en soit requis. Ils sont réservés aux cas qui nécessitent l'urgence, et notamment aux aliénés abandonnés, indigents ou dangereux; ils peuvent être ordonnés sur le vu d'une attestation médicale, datant de moins de 8 jours, émanant d'un médecin autorisé à pratiquer dans le canton, et qui ne soit pas attaché à l'établissement où aura lieu le placement."				"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB."	1			1	6	315				550	3					3	3	3		3												
GE02	Genf	Genf	"Maison d'éducation ""Florissant"""	3				Protection et relèvement moral de la jeune fille.		14–20 Jahre			2		Heilsarmee		2	43		39			2	2			2		1	1	1													
GE05	Genf	Genf	Prison de Saint-Antoine	5					G, H, ev. V.		H bis 6 Mte., G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	4		115		120	120	3					3	3			3												
GE07	Genf	Choully	Foyer pour adolescents Les Ormeaux	3						Home de demi-liberté pour des adolescents		Erziehungs- und Beobachtungsanstalt für Jugendliche und Minderjährige	2		Comité des Ormeaux	2	2			40–50		50	1				1		4		3	1												
GL01	Glarus	Glarus	Untersuchungsgefängnis im Rathaus	5					G, H		G, H bis 2 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Freiheitsstrafen bis 2 Monaten"	1			1	7						3					3	3			3												
