ID	Kanton (Canton)	Ort (city)	Anstalt (institution)	aufgeführte, alternative Bezeichnungen (alternative notations)	"Anstaltszweck (Quelle)
(purpos of the institution according to the source)"	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	Offenheit Code	DummyOffen	DummyHalboffen	DummyGeschlossen	Spezifikation Typologie (Quelle) (categories according to source)	Trägerschaft (agencies, funding bodies)	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	"Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4"	Bemerkungen Plätze (Quelle)	DummyMänner	DummyFrauen	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (Quelle) (denomination according to source)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4"	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
BE02-b	BE	Witzwil	Kantonale Strafanstalt Witzwil		"Untersuchungshaft;
Gefängnis;
Zuchthaus;
Erziehung von männlichen Jugendlicher nach Art. 94 StGB."	5				#REF!	0	1	0	Staatliche, halboffene Anstalt	1		220	6	220		1		1	0	Ohne Limite, nach Verfügung	1	4					Gerichte	Jugendämter in Verbindung mit Gerichten												Interkonfessionell	3	"2 reformierte Anstaltspfarrer deutscher Sprache;
2 reformierte Anstaltspfarrer franz. Sprache;
1 Kapuzinerpater deutscher Sprache aus Fribourg;
1 Kapuzinerpater franz. Sprache aus Le Landeron;
1 griechisch-kath. Pfarrer aus Bern;
1 Rabbiner aus Bern;
1 Offizierin der Heilsarmee aus Bern, alle im Nebenamt"	"Im Hause, Besuch freiwillig;
Reformierte: jeden Sontag, abwechslungsweise deutsch und französisch;
Katholiken: alle 14 Tage, abwechslungsweise deutsch und französisch;
Greich.-Kath.: gelegentlich;
Israeliten: gelegentlich;
ausserdem für Reformierte Zusammenkünfte durch Heilsarmee und Junge Kirche"
BE02-d	BE	Witzwil	Trinkerheilanstalt Eschenhof		Verwahrung von Gewohnheitstrinkern nach Art. 44	4				#REF!	1	0	0	Staatliche, offene Anstalt	1		35	2	35		1		1	0	Maximal 2 Jahre	1	6	10				Gerichte	Vormundschaftsbehörden	Administrativbehörden											Interkonfessionell	3	Wie Strafanstalt Witzwil	
BE02-a	BE	Diemtigtal	Alpkolonie Kiley		Verlegung von Gefangenen aus den Anstalten in Witzwil als Vergünstigung aus gesundheitlichen Rücksichten.	2				#REF!	1	0	0	Staatliche, offene Anstalt	1		35	2	35		1		1	0	Keine	7						Direktion der Anstalten in Witzwil													Interkonfessionell	3	"Reformierter Pfarrer aus Diemtigen;
Kapuzinerpater aus Fribourg und Le Landeron"	Freiwilliger Besuch des Gottesdienstes in der Kirche Schwenden
BE03	BE	Le Landeron	Arbeitsanstalt St. Johannsen		"Haftgefängnis;
Arbeitserziehungsanstalt;
Administrative Versorgungen"	1	5			#REF!	0	1	0	Staatliche, halboffene Anstalt	1		300	6	300		1	"Le Landeron: 250;
Ins: 50"	1	0	Minimal 6 Monate, maximal 2 Jahre	7	8	10				Polizeibehörden	Haftvollzugsbehörden	Vormundschaftsbehörden	Administrativbehörden										Interkonfessionell	3	"Reformierter Pfarrer aus Gampelen (deutsch);
reformierter Pfarrer aus Erlach (deutsch);
reformierter Pfarrer aus Le Landeron (französisch);
reformierter Pfarrer aus La Neuveville (französisch);
Kapuzinerkloster Le Landeron (deutsch + französisch);
Heilsarmee, alle im Nebenamt"	"Im Hause, Besuch freiwillig;
Reformierte: jeden Sonntag in deutscher und französischer Sprache wechselnd;
Katholiken: jeden Sonntag in deutscher und französischer Sprache wechselnd"
BE04	BE	Krauchthal	Kantonale Strafanstalt Thorberg		"a) Gefängnis für Rückfällige;
b) Zuchthaus für Strafen von mehr als 3 Jahren;
c) gerichtliche Verwahrung"	5				#REF!	0	1	1	"Staatliche Anstalt;
geschlossen: für Zuchthaus und Verwahrung;
halboffen: für Gefangene und für Verwahrte, je nach Gesundheitszustand;
Abteilungen nur getrennt, soweit es der Arbeitsbetrieb gestattet."	1		250	6	250		1		1	0	Nach gerichtlichem Urteil	1						Gerichte													Interkonfessionell	3	Reformierter Pfarrer aus St. Imier und katholischer Pfarrer aus Burgdorf, beide im Nebenamt	"Im Hause, Besuch freiwillig;
Reformierte: alle 14 Tage;
Katholiken: 1 mal monatlich;
gelegentliche Besuche der Heilsarmee"
BE05	BE	Langnau im Emmental	Anstalt Bärau		"Armen-Verpflegungsanstalt;
Vom Kanton benutzte Anstalt für Verwahrung und Versorgung nach Art. 17 StGB und nach Art. 25 und 66 des EG zum StGB."	1	7			#REF!	1	0	0	Private, offene Anstalt	2	Inhaber: Genossenschaft der Emmenthalischen Gemeinden, Landnau i. E.	550	6	230	220	3	ca. 10–15 nach StGB	1	1	"Keine begrenzte Aufenthaltsdauer;
Aufnahmealter minimal 16 Jahre;
Internierte nach StGB werden von den andern Insassen nicht getrennt gehalten (ca. 10–15)."	5						Regierungsrat des Kantons Bern													Interkonfessionell	3	"Reformierter Pfarrer aus Burgdorf;
katholischer Pfarrer aus Langnau;
beide im Nebenamt"	"Im Hause, Besuch freiwillig;
Reformierte: 1 mal monatlich;
Katholiken: 1 mal monatlich"
BE06	BE	Kirchlindach	Bernische Heilstätte Nüchtern		"Heilstätte für Alkoholkranke;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von Gewohnheitstrinkern nach Art. 44 StGB."	4				#REF!	1	0	0	Private, offene Anstalt mit Mitspracherecht des Kantons	2	Inhaber: Verein der Trinkerheilstätte Nüchtern Kirchlindach	50	3	50		1		1	0	Mindestens 1 Jahr	6	7					Administrativbehörden	Strafvollzugsbehörden												Reformiert	1	Reformierter Ortspfarrer im Nebenamt	Jeden Sonntag freiwilliger Kirchgang im Ort
BE09	BE	Prêles	Erziehungsheim für Jugendliche Tessenberg		"Gerichtliche Verwahrung;
Administrative Versorgung;
Erziehungsanstalt für Jugendliche"	3				#REF!	1	0	0	Staatlich, offene Anstalt	1		120	4	120		1	"Reformierte: ca. 80;
Katholiken: ca. 40"	1	0	Minimal 1 Jahr	4	11					Jugendanwaltschaften	Vormundschaftsbehörden												Interkonfessionell	3	"Reformierter Pfarrer aus Murten (deutsch);
reformierter Pfarrer aus Diesse (französisch);
katholischer Pfarrer aus Biel (deutsch & französisch), alle im Nebenamt"	"Im Hause, Besuch obligatorisch;
sporadisch für beide Konfessionen;
ausserdem Kirchgang jeden Sonntag für Reformierte nach Ligerz und für Katholiken nach Biel"
BE10	BE	Herzogenbuchsee	Pension Wysshölzli	Heilstätte für Alkoholkranke Wysshölzli	"Trinkerheilanstalt für Frauen;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von Gewohnheitstrinkerinnen."	4				#REF!	0	0	1	Private, geschlossene Anstalt	2	Inhaber: Genossenschaft Wysshölzli, Herzogenbuchsee	25	2		25	2		0	1	"Mindestens 1 Jahr;
Internierte nach StGB werden von den andern Insassinnen nicht getrennt gehalten"	9	10					Fürsorgestellen	Vormundschaften												"Reformiert;
Leitung durch drei Berner Diakonissen"	1	Reformierter und katholischer Ortspfarrer im Nebenamt	"Obligatorischer Besuch der Ortsgottesdienste jeden Sonntag;
ausserdem werktags Andachten in der Pension"
BE11	BE	Aarberg	Bezirksgefängnis Aarberg		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige wenige Zellen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Biel	Keine Gottesdienstmöglichkeit
BE12	BE	Aarwangen	Bezirksgefängnis Aarwangen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige wenige Zellen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Langenthal	Keine Gottesdienstmöglichkeit
BE13	BE	Belp	Bezirksgefängnis Seftigen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3		1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Reformierter Ortspfarrer und kath. Pfarrer aus Bümpliz	Keine Gottesdienstmöglichkeit
BE14	BE	Bern	Bezirksgefängnis Bern		"a) Untersuchungsgefängnis;
b) Vollzug kurzfristiger Haft- und Gefängnisstrafen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		120	4			3	Männer und Frauen	1	1	"a) ohne Limite, nach Haftbefehl;
b) maximal 1 Monat, in Einzelfällen 3 Monate"	1	2	3	7			Untersuchungsrichter	Staatsanwalt	Gerichte	Strafvollzugsbehörden										Interkonfessionell	3	"Reformierter Ortspfarrer (deutsch);
reformierter Ortspfarrer (französisch);
katholischer Ortspfarrer,
Offizierin der Heilsarmee und eine reformierte Pfarrhelferin (Frauen), alle im Nebenamt"	Keine
BE15	BE	Biel	Bezirksgefängnis Biel		"a) Untersuchungsgefängnis;
b) Vollzug kurzfristiger Haft- und Gefängnisstrafen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		40	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 30 Tage"	1	11					Regierungsstatthalter	Bezirksgerichtspräsident												Interkonfessionell	3	Reformierter und katholischer Ortspfarrer, beide im Nebenamt	"Im Hause, Besuch freiwillig;
Reformierte: am 1. Sonntag des Monats;
Katholiken: am 3. Sonntag des Monats"
BE16	BE	Blankenburg	Bezirksgefängnis Obersimmental		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Gstaad	Keine Gottesdienstmöglichkeit
BE17	BE	Büren an der Aare	Bezirksgefängnis Büren		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	8	11					Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Grenchen	Keine Gottesdienstmöglichkeit
BE18	BE	Burgdorf	Bezirksgefängnis Burgdorf		"a) Untersuchungsgefängnis;
b) Polizeigefängnis;
c) Vollzug von Haft- und Gefängnisstrafen
"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		24	2	20	4	3		1	1	"a) ohne Limite, nach Verfügung;
b) bis 5 Tage;
c) maximal 3 Monate"	1	2	8				Untersuchungsrichter	Ortspolizeibehörde	Gerichtspräsident											Interkonfessionell	3	Reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE19	BE	Courtelary	Bezirksgefängnis Courtelary		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		12	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	8	11					Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus St. Imier	Keine Gottesdienstmöglichkeit
BE20	BE	Delémont	Bezirksgefängnis Delémont		"a) Untersuchungsgefängnis;
b) Vollzug Haft- und Gefängnisstrafen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		20	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 30 Tage"	1	2					Untersuchungsrichter	Bezirksgerichtspräsident												Interkonfessionell	3	Auf Wunsch deutscher reformierter, französisch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE21	BE	Erlach	Bezirksgefängnis Erlach		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		4	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und Kapuzinerkloster Le Landeron	Keine Gottesdienstmöglichkeit
BE22	BE	Fraubrunnen	Bezirksgefängnis Fraubrunnen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		3	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	"Auf Wunsch reformierter Ortspfarrer;
katholischer Pfarrer aus Burgdorf"	Keine Gottesdienstmöglichkeit
BE23	BE	Frutigen	Bezirksgefängnis Frutigen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		14	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	"Auf Wunsch reformierter Ortspfarrer;
katholischer Pfarrer aus Spiez"	Keine Gottesdienstmöglichkeit
BE24	BE	Interlaken	Bezirksgefängnis Interlaken		"a) Untersuchungsgefängnis;
b) Polizeigefängnis;
c) Vollzug von Haft- und Gefängnisstrafen
"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		24	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) bis 5 Tage;
c) maximal 30 Tage, in Einzelfällen bis 3 Monate"	1	2	8				Untersuchungsrichter	Ortspolizeibehörde	Bezirksgericht	Regierungsstatthalteramt als Strafvollzugsbehörde										Interkonfessionell	3	Reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE25	BE	Konolfingen	Bezirksgefängnis Konolfingen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige wenige Zellen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE26	BE	La Neuveville	Bezirksgefängnis La Neuveville		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		3	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	8	11					Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE27	BE	Langnau im Emmental	Bezirksgefängnis Signau		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		24	2			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE28	BE	Laufen	Bezirksgefängnis Laufen		"a) Untersuchungsgefängnis;
b) Vollzug Haft- und Gefängnisstrafen bis 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		20	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 30 Tage"	2	11					Untersuchungsrichter	Bezirksstatthalteramt als Strafvollzugsbehörde												Interkonfessionell	3	Auf Wunsch reformierter, katholischer und christ-katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE29	BE	Laupen	Bezirksgefängnis Laupen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		8	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	"Auf Wunsch reformierter Ortspfarrer;
kein katholischer Pfarrer"	Keine Gottesdienstmöglichkeit
BE30	BE	Meiringen	Bezirksgefängnis Oberhasle		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		15	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE31	BE	Moutier	Bezirksgefängnis Moutier		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		15	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE32	BE	Nidau	Bezirksgefängnis Nidau		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Biel	Keine Gottesdienstmöglichkeit
BE33	BE	Porrentruy	Bezirksgefängnis Porrentruy		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		22	2			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BE34	BE	Saanen	Bezirksgefängnis Saanen		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		6	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Gstaad	Keine Gottesdienstmöglichkeit
BE35	BE	Saignelégier	Bezirksgefängnis Franches Montagnes		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige Zellen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	"Auf Wunsch reformierter Ortspfarrer;
kein katholischer Pfarrer"	Keine Gottesdienstmöglichkeit
BE36	BE	Schwarzenburg	Bezirksgefängnis Schwarzenburg		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige wenige Zellen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	"Auf Wunsch reformierter Ortspfarrer;
kein katholischer Pfarrer"	Keine Gottesdienstmöglichkeit
BE37	BE	Thun	Bezirksgefängnis Thun		"a) Untersuchungsgefängnis;
b) Vollzug Haft- und Gefängnisstrafen bis 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		30	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 30 Tage"	1	11					Regierungsstatthalter	Bezirksgericht	Statthalteramt als Strafvollzugsbehörde											Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	"Im Hause, Besuch freiwillig;
an Feiertagen, gelegentlich an Sonntagen"
